sigma,gauss_threshold,overlap_threshold,center_distance,number_samples,recall,precision,f1_score
2.4224224224224224,0.17017017017017017,41.64164164164164,14.924924924924925,493,1.0,1.0,1.0
2.1821821821821823,0.8858858858858859,41.04104104104104,27.74774774774775,61,1.0,1.0,1.0
1.6816816816816818,0.3883883883883884,0.2002002002002002,11.981981981981981,272,1.0,1.0,1.0
9.48948948948949,0.8028028028028028,80.38038038038039,13.963963963963964,293,0.0,0.0,0.0
4.334334334334335,0.7137137137137137,98.0980980980981,22.46246246246246,803,1.0,1.0,1.0
5.6956956956956954,0.6776776776776777,73.57357357357358,14.954954954954955,159,1.0,1.0,1.0
1.941941941941942,0.3033033033033033,22.222222222222225,29.75975975975976,60,1.0,1.0,1.0
5.935935935935936,0.7537537537537538,55.55555555555556,1.8618618618618619,766,0.0,0.0,0.0
3.2132132132132134,0.058058058058058054,5.105105105105105,17.95795795795796,489,1.0,0.5,0.6666666666666666
5.145145145145145,0.9419419419419419,87.38738738738739,16.306306306306308,162,1.0,1.0,1.0
0.5805805805805806,0.983983983983984,52.052052052052055,2.4624624624624625,872,1.0,0.5,0.6666666666666666
1.901901901901902,0.07007007007007007,60.96096096096097,2.0720720720720722,692,0.0,0.0,0.0
8.82882882882883,0.24024024024024024,41.34134134134134,3.6636636636636637,965,0.0,0.0,0.0
9.11911911911912,0.5835835835835835,25.225225225225227,17.77777777777778,609,0.0,0.0,0.0
0.40040040040040037,0.6346346346346347,8.308308308308309,12.882882882882884,674,1.0,1.0,1.0
5.975975975975976,0.5785785785785785,53.553553553553556,9.6996996996997,958,0.0,0.0,0.0
2.6726726726726726,0.2092092092092092,68.56856856856858,22.01201201201201,322,1.0,1.0,1.0
2.4424424424424425,0.27127127127127126,40.54054054054054,4.024024024024024,688,0.0,0.0,0.0
6.606606606606607,0.3073073073073073,46.84684684684685,9.6996996996997,952,0.0,0.0,0.0
7.697697697697698,0.958958958958959,7.407407407407407,0.2702702702702703,470,0.0,0.0,0.0
6.366366366366366,0.5765765765765766,10.21021021021021,2.2522522522522523,551,0.0,0.0,0.0
2.1821821821821823,0.5185185185185185,27.127127127127128,4.054054054054054,956,0.0,0.0,0.0
3.5735735735735736,0.9029029029029029,7.007007007007007,27.027027027027028,251,1.0,1.0,1.0
3.7837837837837838,0.2912912912912913,16.116116116116117,13.453453453453454,854,1.0,0.3333333333333333,0.5
5.565565565565565,0.7207207207207207,30.930930930930934,18.7987987987988,827,1.0,1.0,1.0
6.696696696696697,0.5415415415415415,0.8008008008008008,20.51051051051051,837,1.0,1.0,1.0
5.675675675675675,0.3063063063063063,95.4954954954955,20.39039039039039,107,1.0,1.0,1.0
9.61961961961962,0.8998998998998999,13.713713713713714,8.108108108108109,119,0.0,0.0,0.0
9.11911911911912,0.1091091091091091,76.07607607607608,16.996996996996998,160,0.0,0.0,0.0
2.7827827827827827,0.2882882882882883,61.96196196196197,6.456456456456457,735,0.0,0.0,0.0
3.5135135135135136,0.2082082082082082,70.37037037037038,19.48948948948949,874,1.0,1.0,1.0
2.7027027027027026,0.5175175175175175,50.050050050050054,7.717717717717718,928,0.0,0.0,0.0
9.2992992992993,0.8668668668668669,5.205205205205205,2.8228228228228227,650,0.0,0.0,0.0
4.334334334334335,0.8498498498498498,28.32832832832833,1.3513513513513513,4,0.0,0.0,0.0
3.4134134134134135,0.7897897897897898,13.313313313313314,19.57957957957958,269,1.0,1.0,1.0
1.6516516516516517,0.7597597597597597,45.24524524524525,16.936936936936938,723,1.0,1.0,1.0
4.374374374374375,0.5745745745745746,0.9009009009009009,3.4234234234234235,78,0.0,0.0,0.0
9.67967967967968,0.9049049049049049,70.77077077077078,27.77777777777778,153,0.0,0.0,0.0
5.585585585585585,0.036036036036036036,85.4854854854855,11.35135135135135,597,0.0,0.0,0.0
5.655655655655655,0.15115115115115116,44.04404404404405,3.903903903903904,43,0.0,0.0,0.0
3.153153153153153,0.3733733733733734,92.0920920920921,28.67867867867868,816,1.0,1.0,1.0
9.95995995995996,0.8818818818818819,4.004004004004004,27.62762762762763,367,1.0,1.0,1.0
2.1521521521521523,0.6986986986986987,25.525525525525527,20.48048048048048,106,1.0,1.0,1.0
3.6236236236236237,0.7987987987987988,57.35735735735736,27.177177177177178,896,1.0,1.0,1.0
4.1641641641641645,0.997997997997998,63.56356356356357,23.033033033033032,159,1.0,1.0,1.0
9.47947947947948,0.9529529529529529,24.224224224224226,26.576576576576578,167,0.0,0.0,0.0
10.0,0.8198198198198198,83.08308308308308,5.435435435435435,903,0.0,0.0,0.0
4.2242242242242245,0.025025025025025023,18.31831831831832,22.64264264264264,947,1.0,1.0,1.0
3.4034034034034035,0.8018018018018018,95.3953953953954,12.642642642642642,822,1.0,1.0,1.0
6.856856856856857,0.8848848848848849,75.27527527527528,24.924924924924923,255,1.0,1.0,1.0
2.7327327327327327,0.16316316316316315,80.68068068068068,21.56156156156156,111,1.0,1.0,1.0
3.913913913913914,0.8938938938938938,3.9039039039039043,26.396396396396398,482,1.0,1.0,1.0
2.2722722722722724,0.2042042042042042,83.68368368368368,28.22822822822823,472,1.0,1.0,1.0
3.5835835835835836,0.3123123123123123,84.08408408408408,24.444444444444443,893,1.0,1.0,1.0
