sigma,gauss_threshold,overlap_threshold,center_distance,pair_gap,number_samples,recall,precision,f1_score
15.365365365365367,0.46846846846846846,32.332332332332335,95.1951951951952,38.48848848848849,959,1.0,1.0,1.0
3.7037037037037037,0.009009009009009009,46.94694694694695,63.66366366366367,28.82882882882883,103,1.0,1.0,1.0
3.753753753753754,0.5505505505505506,21.821821821821825,51.851851851851855,13.563563563563564,136,1.0,1.0,1.0
47.7977977977978,0.35735735735735735,90.2902902902903,7.007007007007007,45.04504504504505,251,0.0,0.0,0.0
18.91891891891892,0.2912912912912913,16.116116116116117,44.84484484484485,42.692692692692695,557,0.5,1.0,0.6666666666666666
36.03603603603604,0.30930930930930933,62.66266266266267,82.68268268268268,33.48348348348348,542,0.5,1.0,0.6666666666666666
0.4004004004004004,0.6836836836836837,83.68368368368368,56.75675675675676,15.315315315315317,955,1.0,1.0,1.0
33.98398398398398,0.1061061061061061,96.1961961961962,89.98998998999,6.856856856856857,271,0.0,0.0,0.0
5.9059059059059065,0.9119119119119119,10.910910910910912,76.07607607607608,28.32832832832833,160,1.0,1.0,1.0
13.913913913913914,0.2882882882882883,61.96196196196197,21.521521521521525,36.73673673673674,352,0.5,1.0,0.6666666666666666
10.41041041041041,0.7037037037037037,64.96496496496496,87.38738738738739,13.513513513513514,518,1.0,1.0,1.0
25.025025025025027,0.25725725725725723,92.7927927927928,92.992992992993,43.34334334334335,53,1.0,1.0,1.0
4.704704704704705,0.6496496496496497,43.34334334334335,84.98498498498499,14.164164164164164,46,1.0,1.0,1.0
0.15015015015015015,0.34134134134134136,78.97897897897899,13.313313313313314,32.632632632632635,269,1.0,1.0,1.0
8.258258258258259,0.7597597597597597,45.24524524524525,56.45645645645646,36.13613613613614,438,1.0,1.0,1.0
28.72872872872873,0.009009009009009009,11.411411411411413,7.7077077077077085,48.3983983983984,905,0.0,0.0,0.0
35.38538538538539,0.9259259259259259,15.215215215215217,55.85585585585586,1.8018018018018018,855,0.0,0.0,0.0
18.91891891891892,0.5965965965965966,56.55655655655656,15.115115115115117,22.022022022022025,131,0.0,0.0,0.0
2.1021021021021022,0.3153153153153153,37.33733733733734,92.0920920920921,47.7977977977978,816,1.0,1.0,1.0
49.7997997997998,0.8818818818818819,4.004004004004004,92.0920920920921,18.31831831831832,216,0.0,0.0,0.0
34.93493493493494,0.2552552552552553,68.26826826826827,10.51051051051051,18.11811811811812,799,0.0,0.0,0.0
28.67867867867868,0.9059059059059059,89.5895895895896,41.64164164164164,49.8998998998999,636,0.5,1.0,0.6666666666666666
38.38838838838839,0.15815815815815815,94.7947947947948,95.2952952952953,12.112112112112113,886,0.0,0.0,0.0
8.308308308308309,1.0,81.98198198198199,83.08308308308308,9.05905905905906,903,1.0,1.0,1.0
21.12112112112112,0.025025025025025023,18.31831831831832,75.47547547547548,47.34734734734735,341,1.0,1.0,1.0
40.090090090090094,0.953953953953954,42.14214214214214,82.18218218218219,34.28428428428429,885,0.5,0.5,0.5
37.63763763763764,0.8308308308308309,25.425425425425427,27.32732732732733,8.158158158158159,807,0.0,0.0,0.0
35.93593593593594,0.11011011011011011,39.13913913913914,89.3893893893894,1.9519519519519521,880,0.0,0.0,0.0
24.074074074074076,0.2272272272272272,20.42042042042042,83.68368368368368,47.04704704704705,472,1.0,1.0,1.0
17.91791791791792,0.3123123123123123,84.08408408408408,81.48148148148148,44.64464464464465,234,1.0,1.0,1.0
11.411411411411413,0.024024024024024024,67.56756756756756,19.71971971971972,20.42042042042042,337,0.5,1.0,0.6666666666666666
14.264264264264265,0.8858858858858859,7.107107107107107,99.0990990990991,39.58958958958959,286,1.0,1.0,1.0
17.96796796796797,0.6566566566566566,52.152152152152155,40.94094094094094,34.78478478478479,864,0.5,1.0,0.6666666666666666
27.47747747747748,0.33933933933933935,96.1961961961962,2.802802802802803,5.9059059059059065,899,0.0,0.0,0.0
49.6996996996997,0.26726726726726724,18.21821821821822,59.45945945945946,49.2992992992993,272,0.0,0.0,0.0
1.9519519519519521,0.1111111111111111,61.06106106106107,44.44444444444445,17.66766766766767,747,1.0,1.0,1.0
40.290290290290294,0.3213213213213213,44.64464464464465,62.06206206206207,26.176176176176178,119,0.0,0.0,0.0
19.71971971971972,0.9219219219219219,59.05905905905906,19.41941941941942,13.013013013013014,46,0.0,0.0,0.0
36.28628628628629,0.44644644644644643,0.1001001001001001,53.253253253253256,47.3973973973974,826,0.0,0.0,0.0
